#Front	Back	Quelle	Tags
LP+-Verortung: In welcher Jahrgangsstufe und welchem Lernbereich verlangt der LehrplanPLUS das Thema „Inklusion — Umgang mit Menschen mit Behinderung“ — und mit welchem Operator?	GPG5 LB4 (Zug R+M)  ·  Operator: umgehen / kooperieren  ·  AFB Anwendung / Haltung<br><br>Wortlaut: „gehen wertschätzend mit Menschen mit Behinderung um und kooperieren bei gemeinsamen Vorhaben.“	LehrplanPLUS MS Bayern · GPG5 · LB4 Lebenswelt | idealtypisch — kein eigenes GPG5-Schriftwesen vorliegend	MP_N18_Sk_KE GPG5 LB4 idealtypisch Verortung
GPG5 LB4 „gehen wertschätzend mit Menschen mit Behinderung um und kooperieren bei gemeinsamen Vorhaben.“ — Nenne ein Unterrichtsbeispiel und die abgedeckten didaktischen Prinzipien.	Umsetzung [idealtypisch]: Projekt „Gemeinsam geht mehr“ — kooperatives Vorhaben mit Inklusionsbezug<br><br>Verlauf: Perspektivübung (Alltag mit Einschränkung simulieren) → gemeinsames Klassenprojekt mit kooperativem Pflichtanteil → Reflexion „Was hilft beim Zusammenarbeiten?“.<br><br>Prinzipien: Handlungsorientierung, Werterziehung	LehrplanPLUS MS Bayern · GPG5 · LB4 Lebenswelt | idealtypisch — kein eigenes GPG5-Schriftwesen vorliegend	MP_N18_Sk_KE GPG5 LB4 idealtypisch Umsetzung
LP+-Verortung: In welcher Jahrgangsstufe und welchem Lernbereich verlangt der LehrplanPLUS das Thema „Kommunalpolitik — Motive der Wohnortwahl“ — und mit welchem Operator?	GPG6 LB4 (Zug R+M)  ·  Operator: recherchieren / beurteilen  ·  AFB II–III<br><br>Wortlaut: „recherchieren in ihrem familiären Umfeld die Motive für die Wahl des eigenen Wohnortes (z. B. Freizeitwert, Verkehrsanbindungen) und beurteilen diese Entscheidung.“	LehrplanPLUS MS Bayern · GPG6 · LB4 Lebenswelt | idealtypisch — kein eigenes GPG6-Schriftwesen vorliegend	MP_N18_Sk_KE GPG6 LB4 idealtypisch Verortung
GPG6 LB4 „recherchieren in ihrem familiären Umfeld die Motive für die Wahl des eigenen Wohnortes (z. B. Freizeitwert, Verkehrsanbi...“ — Nenne ein Unterrichtsbeispiel und die abgedeckten didaktischen Prinzipien.	Umsetzung [idealtypisch]: Mini-Sozialstudie „Warum wohnen wir hier?“ — Befragung im familiären Umfeld<br><br>Verlauf: SuS entwickeln einen kurzen Fragebogen → Befragung im familiären Umfeld als Hausaufgabe → Auswertung und Clusterung der Motive im Plenum → Urteilsfrage „War die Wohnortwahl gut begründet?“.<br><br>Prinzipien: Erkundung / Außerschulische Lernorte, Lebensweltbezug, Politische Urteilsbildung	LehrplanPLUS MS Bayern · GPG6 · LB4 Lebenswelt | idealtypisch — kein eigenes GPG6-Schriftwesen vorliegend	MP_N18_Sk_KE GPG6 LB4 idealtypisch Umsetzung
LP+-Verortung: In welcher Jahrgangsstufe und welchem Lernbereich verlangt der LehrplanPLUS das Thema „Kommunalpolitik — Aufbau der kommunalen Selbstverwaltung“ — und mit welchem Operator?	GPG6 LB4 (Zug R+M)  ·  Operator: darstellen  ·  AFB II<br><br>Wortlaut: „stellen den Aufbau und die Funktionszusammenhänge der kommunalen Selbstverwaltung sowie die Mitwirkungsmöglichkeiten der Bürgerinnen und Bürger in der Gemeinde dar.“	LehrplanPLUS MS Bayern · GPG6 · LB4 Lebenswelt | idealtypisch — kein eigenes GPG6-Schriftwesen vorliegend	MP_N18_Sk_KE GPG6 LB4 idealtypisch Verortung
GPG6 LB4 „stellen den Aufbau und die Funktionszusammenhänge der kommunalen Selbstverwaltung sowie die Mitwirkungsmöglichkeiten der...“ — Nenne ein Unterrichtsbeispiel und die abgedeckten didaktischen Prinzipien.	Umsetzung [idealtypisch]: UE „Wer entscheidet in unserer Gemeinde?“ — Strukturmodell kommunale Selbstverwaltung<br><br>Verlauf: Organigramm Gemeinderat / Bürgermeister / Verwaltung gemeinsam aufbauen → Mitwirkungsmöglichkeiten als Beteiligungsleiter (Wahl bis Bürgerentscheid) → Zuordnungsaufgabe konkreter Beteiligungsformen.<br><br>Prinzipien: Kompetenzstrukturmodell GPG, Demokratielernen	LehrplanPLUS MS Bayern · GPG6 · LB4 Lebenswelt | idealtypisch — kein eigenes GPG6-Schriftwesen vorliegend	MP_N18_Sk_KE GPG6 LB4 idealtypisch Umsetzung
LP+-Verortung: In welcher Jahrgangsstufe und welchem Lernbereich verlangt der LehrplanPLUS das Thema „Kommunalpolitik — Entscheidungsprozesse erproben“ — und mit welchem Operator?	GPG6 LB4 (Zug R+M)  ·  Operator: erläutern / erproben  ·  AFB II + Anwendung/Handlung<br><br>Wortlaut: „erläutern ausgehend von einem aktuellen Fallbeispiel aus ihrem Umfeld die kommunalpolitischen Entscheidungsprozesse und erproben ihre Mitwirkungsmöglichkeiten bei exemplarischen Fällen an ihrem Wohnort.“	LehrplanPLUS MS Bayern · GPG6 · LB4 Lebenswelt — einziger MS-LB mit explizitem „erproben“ in der Kommunalpolitik | idealtypisch — kein eigenes GPG6-Schriftwesen vorliegend	MP_N18_Sk_KE GPG6 LB4 idealtypisch Anker Verortung
GPG6 LB4 „erläutern ausgehend von einem aktuellen Fallbeispiel aus ihrem Umfeld die kommunalpolitischen Entscheidungsprozesse und ...“ — Nenne ein Unterrichtsbeispiel und die abgedeckten didaktischen Prinzipien.	Umsetzung [idealtypisch]: Fallanalyse „Soll der Skatepark gebaut werden?“ — kommunalpolitischer Entscheidungsprozess am realen Ortsfall<br><br>Verlauf: aktueller Fall aus der Gemeinde (Skatepark, Bushaltestelle o. Ä.) → Rekonstruktion des Entscheidungswegs Antrag → Ausschuss → Gemeinderat → Erproben: SuS formulieren eine reale Eingabe / einen Antrag ans Kinder- und Jugendforum.<br><br>Prinzipien: Fallanalyse, Handlungsorientierung — Realhandeln, Aktualität / Lebensweltbezug, Demokratielernen	LehrplanPLUS MS Bayern · GPG6 · LB4 Lebenswelt — einziger MS-LB mit explizitem „erproben“ in der Kommunalpolitik | idealtypisch — kein eigenes GPG6-Schriftwesen vorliegend	MP_N18_Sk_KE GPG6 LB4 idealtypisch Anker Umsetzung
LP+-Verortung: In welcher Jahrgangsstufe und welchem Lernbereich verlangt der LehrplanPLUS das Thema „Soziale Frage — Lebens- und Arbeitsverhältnisse der Industrialisierung“ — und mit welchem Operator?	GPG7 LB3 (Zug R+M)  ·  Operator: beschreiben (R) / beschreiben + vergleichen (M)  ·  AFB I (R) / II (M)<br><br>Wortlaut: „beschreiben die Lebens- und Arbeitsverhältnisse von Arbeiterinnen bzw. Arbeitern und deren Familien sowie Lösungsansätze der Sozialen Frage während der Industrialisierung.“	LehrplanPLUS MS Bayern · GPG7 · LB3 Politik und Gesellschaft | Belegcluster D · TUV_03_Landflucht.md · TUV_04_Leben_in_der_Stadt.md · TUV_05_Streik_und_Gewerkschaft.md	MP_N18_Sk_KE GPG7 LB3 real Anker Verortung
GPG7 LB3 „beschreiben die Lebens- und Arbeitsverhältnisse von Arbeiterinnen bzw. Arbeitern und deren Familien sowie Lösungsansätze...“ — Nenne ein Unterrichtsbeispiel und die abgedeckten didaktischen Prinzipien.	Umsetzung [real]: Sequenz „Industrialisierung / Soziale Frage“ — Identifikationsfiguren Johann und Anna (GPG7c und GPG7b (zeitversetzt), KW09–KW13 / Feb–März 2026)<br><br>Verlauf: UZE1 Dampfmaschine verändert das Leben → UZE2 Erfindungen (arbeitsteilige PA mit Bildpaaren) → UZE3 Landflucht „Warum zieht Johann in die Stadt?“ (Push/Pull) → UZE4 „Warum ist Anna in der Stadt unzufrieden?“ (Bildanalyse Lebensbedingungen) → UZE5 „Wie wehrten sich die Arbeiter?“ (Streik/Gewerkschaft) → UZE6 Revoluti...<br><br>Prinzipien: Lebensweltbezug / Identifikationsfiguren, Multiperspektivität, Narrative Kompetenz, Handlungsorientierung	LehrplanPLUS MS Bayern · GPG7 · LB3 Politik und Gesellschaft | Belegcluster D · TUV_03_Landflucht.md · TUV_04_Leben_in_der_Stadt.md · TUV_05_Streik_und_Gewerkschaft.md	MP_N18_Sk_KE GPG7 LB3 real Anker Umsetzung
LP+-Verortung: In welcher Jahrgangsstufe und welchem Lernbereich verlangt der LehrplanPLUS das Thema „Übergang Agrar- zur Industriegesellschaft — Stadtentwicklung“ — und mit welchem Operator?	GPG7 LB3 (Zug R+M)  ·  Operator: analysieren / darstellen  ·  AFB II–III<br><br>Wortlaut: „analysieren unter ausgewählten Aspekten (z. B. Bevölkerungswachstum, Arbeitersiedlungen) die Entwicklung einer Stadt Ende des 19. Jahrhunderts in Deutschland, um den Übergang von der Agrar- zur Industriegesellschaft darzustellen.“	LehrplanPLUS MS Bayern · GPG7 · LB3 Politik und Gesellschaft | Belegcluster D · TUV_03-04_Landflucht_Leben_in_der_Stadt.md	MP_N18_Sk_KE GPG7 LB3 real Verortung
GPG7 LB3 „analysieren unter ausgewählten Aspekten (z. B. Bevölkerungswachstum, Arbeitersiedlungen) die Entwicklung einer Stadt End...“ — Nenne ein Unterrichtsbeispiel und die abgedeckten didaktischen Prinzipien.	Umsetzung [real]: UZE Landflucht und „Leben in der Stadt“ — Push/Pull und Lebensbedingungen (GPG7c und GPG7b, 06.–09.03.2026)<br><br>Verlauf: Push/Pull-Faktoren-Tabelle zur Landflucht (Johann) → Bildanalyse städtischer Lebensbedingungen (Anna): Wohnen, Hygiene, Kinderarbeit → Vergleich Dorf/Stadt → Sicherung als Strukturschema Agrar → Industrie.<br><br>Prinzipien: Quellenarbeit, Lebensweltbezug, Multiperspektivität	LehrplanPLUS MS Bayern · GPG7 · LB3 Politik und Gesellschaft | Belegcluster D · TUV_03-04_Landflucht_Leben_in_der_Stadt.md	MP_N18_Sk_KE GPG7 LB3 real Umsetzung
LP+-Verortung: In welcher Jahrgangsstufe und welchem Lernbereich verlangt der LehrplanPLUS das Thema „Erster Weltkrieg — Ursachen und Kriegsschuldfrage“ — und mit welchem Operator?	GPG7 LB3 (Zug R+M)  ·  Operator: erläutern / diskutieren  ·  AFB II–III<br><br>Wortlaut: „erläutern die Ursachen des Ersten Weltkrieges und diskutieren die Kriegsschuldfrage unter Einbezug aktueller Forschungsergebnisse.“	LehrplanPLUS MS Bayern · GPG7 · LB3 Politik und Gesellschaft | Belegcluster J · 05_Erster_Weltkrieg/	MP_N18_Sk_KE GPG7 LB3 real Verortung
GPG7 LB3 „erläutern die Ursachen des Ersten Weltkrieges und diskutieren die Kriegsschuldfrage unter Einbezug aktueller Forschungse...“ — Nenne ein Unterrichtsbeispiel und die abgedeckten didaktischen Prinzipien.	Umsetzung [real]: Sequenz „Erster Weltkrieg“ — Pulverfass Europa und Attentat von Sarajewo (GPG7b, ab 04.05.2026 (laufend, KW19–22 geplant))<br><br>Verlauf: UE01 „Pulverfass Europa“ (Bündnissystem, Imperialismus als Vorgeschichte) → UE02 Attentat von Sarajewo (Ereignis-Ketten-Analyse) → Kriegsschuldfrage als Pro-Contra geplant → weitere UEs bis 22.05.2026.<br><br>Prinzipien: Pro-Contra-Debatte / politische Urteilsbildung, Multiperspektivität, Quellenarbeit	LehrplanPLUS MS Bayern · GPG7 · LB3 Politik und Gesellschaft | Belegcluster J · 05_Erster_Weltkrieg/	MP_N18_Sk_KE GPG7 LB3 real Umsetzung
LP+-Verortung: In welcher Jahrgangsstufe und welchem Lernbereich verlangt der LehrplanPLUS das Thema „Versailler Friedensvertrag — Bestimmungen und Folgen“ — und mit welchem Operator?	GPG7 LB3 (Zug R / M)  ·  Operator: erläutern / begründen (R) — selbständig darstellen / diskutieren (M)  ·  AFB II (R) / III (M)<br><br>Wortlaut: „erläutern die wesentlichen militärischen, territorialen und wirtschaftlichen Bestimmungen des Versailler Friedensvertrags, um die entstehende Unzufriedenheit der unterschiedlichen gesellschaftlichen Schichten im Deutschen Reich zu begründen.“	LehrplanPLUS MS Bayern · GPG7 · LB3 Politik und Gesellschaft | idealtypisch — Sequenz Erster Weltkrieg GPG7b läuft, die Versailles-UE ist noch nicht durchgeführt	MP_N18_Sk_KE GPG7 LB3 idealtypisch Verortung
GPG7 LB3 „erläutern die wesentlichen militärischen, territorialen und wirtschaftlichen Bestimmungen des Versailler Friedensvertrag...“ — Nenne ein Unterrichtsbeispiel und die abgedeckten didaktischen Prinzipien.	Umsetzung [idealtypisch]: UE „Der Vertrag von Versailles — Frieden oder Demütigung?“ — Fallanalyse eines Dokuments<br><br>Verlauf: Kartenarbeit territoriale Verluste → arbeitsteilige Erschließung militärisch / territorial / wirtschaftlich → Perspektivkarten verschiedener Schichten („Wie reagiert ein Arbeiter / ein Offizier / ein Unternehmer?“) → Urteilsfrage zur Folgenwirkung.<br><br>Prinzipien: Multiperspektivität, Quellenarbeit, Kompetenzstrukturmodell GPG	LehrplanPLUS MS Bayern · GPG7 · LB3 Politik und Gesellschaft | idealtypisch — Sequenz Erster Weltkrieg GPG7b läuft, die Versailles-UE ist noch nicht durchgeführt	MP_N18_Sk_KE GPG7 LB3 idealtypisch Umsetzung
LP+-Verortung: In welcher Jahrgangsstufe und welchem Lernbereich verlangt der LehrplanPLUS das Thema „Recht — rechtsbedeutsame Altersstufen“ — und mit welchem Operator?	GPG7 LB4 (Zug R / M)  ·  Operator: benennen (R) / darstellen (M)  ·  AFB I (R) / I–II (M)<br><br>Wortlaut: „benennen die rechtsbedeutsamen Altersstufen für Jugendliche und übertragen die Bedeutung rechtlicher Regelungen auf das eigene Leben.“	LehrplanPLUS MS Bayern · GPG7 · LB4 Lebenswelt | Belegcluster C · Sequenzplan Recht GPG7c	MP_N18_Sk_KE GPG7 LB4 real Verortung
GPG7 LB4 „benennen die rechtsbedeutsamen Altersstufen für Jugendliche und übertragen die Bedeutung rechtlicher Regelungen auf das ...“ — Nenne ein Unterrichtsbeispiel und die abgedeckten didaktischen Prinzipien.	Umsetzung [real]: UE2 „Rechtliche Altersstufen + Jugendschutzgesetz“ — Stationenlernen (GPG7c (90 min) und GPG7b, 12.01.2026 (7c) · 30.01.2026 (7b))<br><br>Verlauf: 5 Stationen (Ausgehen / Alkohol / Strafmündigkeit / Einkaufen / Arbeiten) mit Fallkarten → Filmausschnitt „Gangsterläufer“ → Transfer „Was darf ich mit 14 / 16 / 18?“ auf das eigene Leben.<br><br>Prinzipien: Lebensweltbezug, Handlungsorientierung, Fallanalyse	LehrplanPLUS MS Bayern · GPG7 · LB4 Lebenswelt | Belegcluster C · Sequenzplan Recht GPG7c	MP_N18_Sk_KE GPG7 LB4 real Umsetzung
LP+-Verortung: In welcher Jahrgangsstufe und welchem Lernbereich verlangt der LehrplanPLUS das Thema „Recht — Jugendschutzgesetz und Jugendstrafrecht“ — und mit welchem Operator?	GPG7 LB4 (Zug R / M)  ·  Operator: zusammenfassen + beurteilen (R) / erläutern + diskutieren (M)  ·  AFB II–III<br><br>Wortlaut: „fassen wesentliche Bestimmungen des Jugendschutzgesetzes und des Jugendstrafrechts zusammen und beurteilen die Bedeutsamkeit der Gesetze für den eigenen Lebensbereich.“	LehrplanPLUS MS Bayern · GPG7 · LB4 Lebenswelt | Belegcluster C · Sequenzplan Recht GPG7c	MP_N18_Sk_KE GPG7 LB4 real Verortung
GPG7 LB4 „fassen wesentliche Bestimmungen des Jugendschutzgesetzes und des Jugendstrafrechts zusammen und beurteilen die Bedeutsam...“ — Nenne ein Unterrichtsbeispiel und die abgedeckten didaktischen Prinzipien.	Umsetzung [real]: UE3 + UE4a „Jugendstrafrecht-Grundlagen + Sanktionsmöglichkeiten“ (GPG7c und GPG7b, 19.01.2026 (7c))<br><br>Verlauf: UE3: Diskussion Strafmündigkeit + Meinungslinie + Fallanalysen JuSchG → UE4a: Erarbeitung Erziehungsmaßregeln / Zuchtmittel / Jugendstrafe als dreistufiger Sanktionskatalog → Beurteilung der Bedeutsamkeit für den eigenen Lebensbereich.<br><br>Prinzipien: Politische / rechtliche Urteilsbildung, Fallanalyse, Lebensweltbezug	LehrplanPLUS MS Bayern · GPG7 · LB4 Lebenswelt | Belegcluster C · Sequenzplan Recht GPG7c	MP_N18_Sk_KE GPG7 LB4 real Umsetzung
LP+-Verortung: In welcher Jahrgangsstufe und welchem Lernbereich verlangt der LehrplanPLUS das Thema „Recht — Jugendstrafrecht und Strafbemessung“ — und mit welchem Operator?	GPG7 LB4 (Zug R+M (wortgleich))  ·  Operator: diskutieren  ·  AFB III<br><br>Wortlaut: „diskutieren grundlegende Bestimmungen des Jugendstrafrechts sowie die präventiv und pädagogisch ausgerichtete Strafbemessung anhand einer öffentlichen Gerichtsverhandlung.“	LehrplanPLUS MS Bayern · GPG7 · LB4 Lebenswelt — R und M wortgleich (stärkstes Pflichtzitat) | Belegcluster C · ELP_Artikulation_Tabelle_v7.2 · Sequenzplan Recht GPG7c	MP_N18_Sk_KE GPG7 LB4 real Anker Verortung
GPG7 LB4 „diskutieren grundlegende Bestimmungen des Jugendstrafrechts sowie die präventiv und pädagogisch ausgerichtete Strafbemes...“ — Nenne ein Unterrichtsbeispiel und die abgedeckten didaktischen Prinzipien.	Umsetzung [real]: UE4b + UE5 ELP „Welche Strafe ist für Leon passend?“ — Fallanalyse als Erweiterte Lehrprobe (GPG7c (ELP-Format) · GPG7b (ohne ELP-Format), UE4b 23.01.2026 · UE5 ELP 26.01.2026)<br><br>Verlauf: UE4b „Hilfe oder Strafe?“: Fallanalyse-Vorbereitung mit Modellfällen. UE5 ELP (5-Phasen GPG GB §5.5): Phase 1 Schlagzeile + Audio + Stundenfrage → Phase 2 Think-Pair-Share mit Multiperspektivität (3 Perspektiven Täter/Opfer/Gesellschaft × 8 Teams, Miro) → Phase 3 Merksatz „Strafe hängt von Information und Sichtweise...<br><br>Prinzipien: Fallanalyse / kasuistisches Verfahren, Multiperspektivität, Beutelsbacher Konsens, Handlungsorientierung, Werterziehung, Erkundung / Außerschulische Lernorte	LehrplanPLUS MS Bayern · GPG7 · LB4 Lebenswelt — R und M wortgleich (stärkstes Pflichtzitat) | Belegcluster C · ELP_Artikulation_Tabelle_v7.2 · Sequenzplan Recht GPG7c	MP_N18_Sk_KE GPG7 LB4 real Anker Umsetzung
LP+-Verortung: In welcher Jahrgangsstufe und welchem Lernbereich verlangt der LehrplanPLUS das Thema „Recht — aktuelle kriminelle Tat und mögliche Strafen“ — und mit welchem Operator?	GPG7 LB4 (Zug R / M)  ·  Operator: berichten + diskutieren (R) / selbständig recherchieren + berichten + diskutieren (M)  ·  AFB II–III<br><br>Wortlaut: „berichten über eine aktuelle kriminelle Tat (z. B. Jugendgewalt, Internetkriminalität) und diskutieren die möglichen Strafen für die Täterin bzw. den Täter.“	LehrplanPLUS MS Bayern · GPG7 · LB4 Lebenswelt | Belegcluster C · ELP_Artikulation_Tabelle_v7.2	MP_N18_Sk_KE GPG7 LB4 real Verortung
