#Front	Back	Quelle	Tags
Was ist eine Fallanalyse / kasuistisches Verfahren?	Makromethode der Sk: analysierende Betrachtung einer Tagesfrage / eines aktuellen Problems als Ausschnitt der Wirklichkeit. Auswahlkriterien: Realitätsbezug, Aktualität, räumliche/soziale/zeitliche Nähe.	GPG B4 §2.2.1; Kaiser in Mickel 1999	MP_N18_Sk::Begriff MP_N18_Sk::Methode MP_N18_Sk::Hochprior
Was ist eine Erkundung in der Sk?	Geplante, methodisch organisierte Wirklichkeitsbegegnung — interaktionell angelegt, mit gemeinsamer Planung, Auswertung, Dokumentation. Verbindet konkretes und abstraktes Lernen.	GPG B4 §2.2.2; Detjen in Mickel 1999	MP_N18_Sk::Begriff MP_N18_Sk::Methode
Was ist ein Planspiel (Sk-Methodik)?	Komplexere Spielform als Rollenspiel: simulierte Umwelt, höhere Komplexität, SuS vertreten Institutionen/Interessengruppen statt Individuen, Gegenstand sind politische Entscheidungsprozesse.	GPG B4 §2.2.8	MP_N18_Sk::Begriff MP_N18_Sk::Methode
Was ist ein Rollenspiel (Sk-Methodik)?	Spielform mit Sich-Hineinversetzen in soziale Situation; vier Stufen: frei, offen, halboffen, gebunden. Schult Ambiguitätstoleranz, Rollendistanz, Empathie, kommunikative Kompetenz.	GPG B4 §2.2.7; Giesecke 1973	MP_N18_Sk::Begriff MP_N18_Sk::Methode MP_N18_Sk::Hochprior
Was unterscheidet Mikro- von Makromethoden (Klippert)?	Mikromethoden = einzelne Lern-/Arbeitstechniken (Texte, Karikatur, Brainstorming, Diskussion). Makromethoden = komplexe Vollzugsformen aus mehreren Mikromethoden (Fallanalyse, Erkundung, Projekt, Sozialstudie, Rollenspiel, Planspiel, Entscheidungsspiel).	GPG B4 §2; Klippert 1997	MP_N18_Sk::Begriff MP_N18_Sk::Methodik
Was ist die narrative Kompetenz?	Reflektiertes historisches Erzählen als Voraussetzung für eigenständige Geschichtsdarstellung und kritischen Umgang mit Historiografie. LP+-explizit verankert.	LP:FPGPG	MP_N18_Sk::Begriff MP_N18_Sk::Geschichtsdidaktik
Was sind die Lernebenen der sozialwiss. Perspektive (GPG GB §5.2)?	(I) Zwischenmenschlich, (II) Sozialisation, (III) Gesellschaftlich-ökonomisch, (IV) Global. Verortungs-Schema für Themenanalyse.	GPG GB §5.2	MP_N18_Sk::Begriff MP_N18_Sk::Modell
Was ist eine Pro-Contra-Debatte (Sk)?	Mikromethode: zwei Positionen, Argumente sammeln, Streitgespräch, Abstimmung. Schult Empathiefähigkeit, Argumentation, Urteilsbildung.	GPG B4 §2.1.9	MP_N18_Sk::Begriff MP_N18_Sk::Methode
Was ist die Werterziehung in der Sk?	Vermittlung gemeinschaftstragender Werte; in der Sk historisch von Inhaltsorientierung zu Handlungsorientierung verschoben. Konzept-Stufen: Dilemmata → Just-Community → Schule als Polis.	GPG B3 §1.2	MP_N18_Sk::Begriff MP_N18_Sk::Werterziehung MP_N18_Sk::Hochprior
Was bedeutet das Aktualitätsprinzip in der Sk?	Sk-Unterricht knüpft an gegenwärtige politische/gesellschaftliche Ereignisse an, um Lebensweltbezug und Mündigkeit zu sichern. Eines der 7 Sk-Unterrichtsprinzipien.	GPG GB §5.4	MP_N18_Sk::Begriff MP_N18_Sk::Prinzip
Was ist das Kompetenzstrukturmodell GPG?	LP+-Modell mit drei Achsen: (a) Gegenstandsbereiche im Kern (Räume, Ordnungssysteme, Interessen, Kulturen, Werte), (b) prozessbezogene Kompetenzen im Ring (Erkenntnis/Beurteilen/Handeln), (c) drei fachliche Perspektiven (hist./sozialwiss./geo.).	LP:FPGPG; GPG GB §2	MP_N18_Sk::Begriff MP_N18_Sk::Lehrplan MP_N18_Sk::Hochprior
Was sind die fünf Gegenstandsbereiche im LP+-GPG-Kompetenzmodell?	Räume, Ordnungssysteme, Interessen, Kulturen, Werte.	LP:FPGPG	MP_N18_Sk::Begriff MP_N18_Sk::Lehrplan
Was sind die drei prozessbezogenen Kompetenzen im LP+-GPG?	(1) Erkenntnisse gewinnen, (2) Beurteilen und bewerten, (3) Anwenden und handeln.	LP:FPGPG; GPG B3 §2.1	MP_N18_Sk::Begriff MP_N18_Sk::Lehrplan
Was sind die vier Lernbereiche GPG?	LB1 Lebensraum Erde / LB2 Zeit und Wandel / LB3 Politik und Gesellschaft / LB4 Lebenswelt. Sozialwissenschaftlich tragend: LB3 + LB4.	LP:FPGPG	MP_N18_Sk::Begriff MP_N18_Sk::Lehrplan
Was ist Sozialkunde im Lehrplan MS Bayern?	Eigenständiges Fach existiert nicht eigenständig in MS Bayern. Sozialwiss. Inhalte werden in GPG (Geschichte/Politik/Geographie) integriert (LB3 + LB4) plus übergreifend in ÜBZ Politische Bildung.	LP:FPGPG	MP_N18_Sk::Begriff MP_N18_Sk::Strukturell MP_N18_Sk::Hochprior
Nenne die drei Beutelsbacher Prinzipien.	(1) Überwältigungsverbot / Indoktrinationsverbot, (2) Kontroversitätsgebot / Ausgewogenheit, (3) Schülerorientierung.	GPG B3 §1.1	MP_N18_Sk::Modell MP_N18_Sk::Beutelsbach MP_N18_Sk::Hochprior
Nenne die vier Dimensionen des Detjen-Politikkompetenz-Modells.	(1) Fachwissen, (2) politisches Urteilen, (3) politische Handlungsfähigkeit, (4) politische Einstellung/Motivation.	Detjen et al. 2012	MP_N18_Sk::Modell MP_N18_Sk::Detjen MP_N18_Sk::Hochprior
Nenne die sechs fachspezifischen Arbeitsweisen Sk nach Reinhardt.	(1) Sich informieren, (2) Interpretieren, (3) Meinungen äußern, (4) Argumentieren/Diskutieren/Kooperieren, (5) Reflektieren, (6) Handeln.	GPG B3 §3.1; Reinhardt 2018	MP_N18_Sk::Modell MP_N18_Sk::Reinhardt MP_N18_Sk::Hochprior
Nenne die fünf Phasen einer Sk-Stunde (GPG GB §5.5).	(1) Problemstellung, (2) Problementfaltung, (3) Problemlösung, (4) Wertung / rationales Urteil, (5) Sicherung + Lernzielkontrolle.	GPG GB §5.5	MP_N18_Sk::Modell MP_N18_Sk::Stundenstruktur MP_N18_Sk::Hochprior
Nenne die fünf Phasen einer Fallanalyse (GPG B4).	(1) Konfrontation, (2) Information, (3) Resolution, (4) Disputation, (5) Kollation.	GPG B4 §2.2.1	MP_N18_Sk::Modell MP_N18_Sk::Methode MP_N18_Sk::Hochprior
Nenne die drei Stufen der Werterziehungs-Konzepte (GPG B3).	(1) Hypothetische Dilemmata (Kohlberg), (2) Just-Community, (3) Schule als Polis.	GPG B3 §1.2	MP_N18_Sk::Modell MP_N18_Sk::Werterziehung
Nenne die sieben Sk-Unterrichtsprinzipien (GPG GB §5.4).	Erfahrungsbezug — Realitätsbegegnung — Handlungsorientierung — kommunikatives Prinzip — Wertorientierung — Aktualitätsprinzip — Sachgerechtigkeit.	GPG GB §5.4	MP_N18_Sk::Modell MP_N18_Sk::Prinzipien
Nenne die vier Lernebenen der sozialwiss. Perspektive.	(I) Zwischenmenschlich, (II) Sozialisation, (III) Gesellschaftlich-ökonomisch, (IV) Global.	GPG GB §5.2	MP_N18_Sk::Modell
Nenne die fünf Auswahlkriterien für Fälle in der Sk-Fallanalyse.	Realitätsbezug, Aktualität, räumliche Nähe, soziale Nähe, zeitliche Nähe.	GPG B4 §2.2.1	MP_N18_Sk::Modell MP_N18_Sk::Methode
Nenne die drei Bewertungsachsen der mündlichen Prüfung (Hinweise S. 2).	(1) Erfassen der gestellten Aufgabe, (2) Fachkenntnisse — Umfang + Praxisorientierung, (3) Darlegung — Begriffe, logischer Aufbau, selbstständige Entwicklung, kritische Argumentation.	Hinweise zur mündlichen Prüfung 2026 S. 2	MP_N18_Sk::Modell MP_N18_Sk::Pruefung MP_N18_Sk::Hochprior
Nenne die acht Punkte der Lösungsmatrix (Seminar SW V).	(1) Gesamtzusammenhang, (2) Grobgliederung, (3) Begriffsklärung, (4) Lehrplan, (5) Realisierungsmöglichkeiten, (6) Probleme/Grenzen, (7) Wertung/Stellungnahme, (8) Zusammenfassung.	Seminar SW V	MP_N18_Sk::Modell MP_N18_Sk::Pruefung MP_N18_Sk::Hochprior
Nenne die drei AFB-Stufen.	AFB I = Reproduktion (benennen, beschreiben). AFB II = Reorganisation/Transfer (erklären, erläutern, vergleichen). AFB III = Reflexion/Beurteilung (diskutieren, bewerten, erörtern).	KMK; LP+-Operatorenliste	MP_N18_Sk::Modell MP_N18_Sk::AFB
Nenne die drei fachlichen Perspektiven im GPG-Kompetenzstrukturmodell.	(1) Historische Perspektive, (2) Sozialwissenschaftliche Perspektive, (3) Geographische Perspektive.	LP:FPGPG; GPG GB §2	MP_N18_Sk::Modell MP_N18_Sk::Lehrplan
Nenne vier Makromethoden der Sk.	Fallanalyse, Erkundung, Projekt/Projektmethode, Rollenspiel/Planspiel/Entscheidungsspiel.	GPG B4 §2.2	MP_N18_Sk::Modell MP_N18_Sk::Methode
Nenne sechs Mikromethoden der Sk.	Textanalyse, Karikaturanalyse, Pro-Contra-Debatte, Diskussion, Befragung/Interview, Talkshow (weitere: Brainstorming, Blitzlicht, Stellung nehmen, Methode 66, Prioritätenliste, WebQuest).	GPG B4 §2.1	MP_N18_Sk::Modell MP_N18_Sk::Methode
LP+ GPG5 LB4: Klassenrat-KE wörtlich?	„wenden demokratische Verhaltensweisen (z. B. bei Klassensprecherwahl, Klassenrat) an, und gestalten ein friedliches und respektvolles Zusammenleben in Familie, Schule und Gesellschaft mit, indem sie z. B. aktiv zuhören, ihre Standpunkte artikulieren, Gesprächsregeln einhalten, argumentieren und verhandeln, Kompromisse finden, Entscheidungen treffen, Beschlüsse fassen und diese in sozialer Verantwortung umsetzen.“	LP+ GPG5 LB4	MP_N18_Sk::LP MP_N18_Sk::GPG5 MP_N18_Sk::LB4 MP_N18_Sk::Hochprior
LP+ GPG5 LB3: Demokratie-KE zur Antike wörtlich?	„beschreiben Zusammensetzung und Befugnisse der Volksversammlung im antiken Griechenland und beurteilen diese Form der Mitsprache für die Bürgerinnen und Bürger als ersten Ansatz von Demokratie.“	LP+ GPG5 LB3	MP_N18_Sk::LP MP_N18_Sk::GPG5 MP_N18_Sk::LB3
LP+ GPG6 LB4: Kommunalpolitik-KE wörtlich?	„erläutern ausgehend von einem aktuellen Fallbeispiel aus ihrem Umfeld die kommunalpolitischen Entscheidungsprozesse und erproben ihre Mitwirkungsmöglichkeiten bei exemplarischen Fällen an ihrem Wohnort.“	LP+ GPG6 LB4	MP_N18_Sk::LP MP_N18_Sk::GPG6 MP_N18_Sk::LB4 MP_N18_Sk::Hochprior
LP+ GPG7 LB4 (R+M wortgleich): Pflicht-KE Jugendstrafrecht?	„diskutieren grundlegende Bestimmungen des Jugendstrafrechts sowie die präventiv und pädagogisch ausgerichtete Strafbemessung anhand einer öffentlichen Gerichtsverhandlung.“	LP+ GPG7 LB4 (R+M)	MP_N18_Sk::LP MP_N18_Sk::GPG7 MP_N18_Sk::LB4 MP_N18_Sk::Hochprior
LP+ GPG7 LB3: KE zur Sozialen Frage?	„beschreiben die Lebens- und Arbeitsverhältnisse von Arbeiterinnen bzw. Arbeitern und deren Familien sowie Lösungsansätze der Sozialen Frage während der Industrialisierung.“ (R) — M zusätzlich: „und vergleichen sie mit unserem sozialen Sicherungssystem“.	LP+ GPG7 LB3	MP_N18_Sk::LP MP_N18_Sk::GPG7 MP_N18_Sk::LB3
LP+ GPG8 LB3: KE zu parlamentarischer Gesetzgebung?	R: „beschreiben die Aufgaben wichtiger parlamentarischer Institutionen bei der Gesetzgebung anhand eines aktuellen Fallbeispiels und diskutieren den Sinn dieser Regelungen für die Zielsetzungen von Legitimität, Effizienz und Allgemeinwohl.“ M: „erklären…“	LP+ GPG8 LB3	MP_N18_Sk::LP MP_N18_Sk::GPG8 MP_N18_Sk::LB3 MP_N18_Sk::Hochprior
LP+ GPG8 LB4: KE zu politischer Teilhabe?	R: „beschreiben…“ / M: „erklären die Möglichkeiten der politischen Teilhabe der Bürgerinnen und Bürger in einer Demokratie, beurteilen deren Mitwirkungsmöglichkeiten und diskutieren sie als eigene zukünftige Handlungsmöglichkeiten.“	LP+ GPG8 LB4	MP_N18_Sk::LP MP_N18_Sk::GPG8 MP_N18_Sk::LB4 MP_N18_Sk::Hochprior
LP+ GPG8 LB4: KE zu Wahlbeteiligung?	„analysieren die Wahlbeteiligung einer aktuellen Bundes- oder Landtagswahl und diskutieren Gründe für die geringe Wahlbeteiligung von Erstwählerinnen und Erstwählern.“	LP+ GPG8 LB4	MP_N18_Sk::LP MP_N18_Sk::GPG8 MP_N18_Sk::LB4
LP+ GPG9 LB3: KE zu Friedenssicherung?	R: „stellen Organisationen der nationalen und internationalen Friedenssicherung dar und diskutieren deren Rolle in aktuellen humanitären und militärischen Einsätzen.“ M zusätzlich: „begründen deren Funktion innerhalb der internationalen Staatengemeinschaft“.	LP+ GPG9 LB3	MP_N18_Sk::LP MP_N18_Sk::GPG9 MP_N18_Sk::LB3
LP+ GPG9 LB4: KE zu Migration?	R: „erklären Ursachen von Migrationsbewegungen, nennen politische Entscheidungen sowie getroffene Maßnahmen in ihrer Region und diskutieren Herausforderungen und Chancen der Migration für unsere Gesellschaft.“ M: „analysieren Ursachen…“	LP+ GPG9 LB4	MP_N18_Sk::LP MP_N18_Sk::GPG9 MP_N18_Sk::LB4 MP_N18_Sk::Hochprior
LP+ GPG10 LB3: KE zu Grund- und Menschenrechten?	„definieren die Grund- und Menschenrechte als schützenswerte Basis gesellschaftlichen Zusammenlebens.“ Plus: „erörtern Möglichkeiten der Intervention durch die Staatengemeinschaft bei anhaltenden Menschenrechtsverletzungen…“	LP+ GPG10 LB3	MP_N18_Sk::LP MP_N18_Sk::GPG10 MP_N18_Sk::LB3 MP_N18_Sk::Hochprior
LP+ GPG10 LB3: KE zum Bundesverfassungsgericht?	„stellen die Rolle des Bundesverfassungsgerichts in unserem politischen System dar und erörtern seine Bedeutung für den Schutz der Grund- und Menschenrechte in Deutschland an einem selbst recherchierten Beispiel.“	LP+ GPG10 LB3	MP_N18_Sk::LP MP_N18_Sk::GPG10 MP_N18_Sk::LB3
LP+ GPG10 LB4: KE zur politischen Willensbildung?	„stellen den Prozess der politischen Willensbildung dar und erproben Einfluss- und Beteiligungsmöglichkeiten politischer Mitwirkung.“	LP+ GPG10 LB4	MP_N18_Sk::LP MP_N18_Sk::GPG10 MP_N18_Sk::LB4 MP_N18_Sk::Hochprior
LP+ ÜBZ Politische Bildung — Eingangssatz?	„Politische Bildung basiert auf der Kenntnis und Akzeptanz von Demokratie und freiheitlich-demokratischer Grundordnung sowie dem Wissen um den föderalen, rechtsstaatlichen und sozialstaatlichen Aufbau der Bundesrepublik Deutschland.“	LP+ ÜBZ Mittelschule	MP_N18_Sk::LP MP_N18_Sk::UEBZ MP_N18_Sk::Hochprior
LP+ FPGPG LB3-Beschreibung — Kernsatz?	„In der Rolle als mündige und verantwortungsvoll handelnde Bürgerinnen und Bürger einer Demokratie setzen sich die Schülerinnen und Schüler im Lernbereich Politik und Gesellschaft mit politischen Ordnungssystemen, Kulturen, Wertvorstellungen, Religionen, politischen und gesellschaftlichen Schlüsselproblemen und den damit zusammenhängenden Interessen und Konflikten auseinander.“	LP+ FPGPG	MP_N18_Sk::LP MP_N18_Sk::FPGPG MP_N18_Sk::Hochprior
LP+ FPGPG LB4-Beschreibung — Kernsatz?	„Die Schülerinnen und Schüler setzen sich im Lernbereich Lebenswelt mit konkreten lebensweltlichen Themen im Unterricht auseinander und analysieren Fragen und Probleme des gesellschaftlichen Zusammenlebens aus verschiedenen Perspektiven.“	LP+ FPGPG	MP_N18_Sk::LP MP_N18_Sk::FPGPG
LP+ FPGPG zur R/M-Differenzierung — wörtlich?	„Die Anforderungen in den Mittlere-Reife-Klassen unterscheiden sich von denen der Regelklassen durch umfangreichere und komplexere Aufgabenstellungen, ein höheres Arbeitstempo und mehr Selbständigkeit.“	LP+ FPGPG	MP_N18_Sk::LP MP_N18_Sk::FPGPG
LP+ GPG7 LB4 (M-Variante): Wodurch unterscheidet sich M zur R-KE „berichten über aktuelle kriminelle Tat“?	M: „recherchieren selbständig und berichten über eine aktuelle, von öffentlichem Interesse geprägte kriminelle Tat (z. B. Jugendgewalt, Internetkriminalität) und diskutieren die möglichen Strafen…“ Selbstständigkeit + öffentliches Interesse als Zusatz.	LP+ GPG7 LB4 M	MP_N18_Sk::LP MP_N18_Sk::GPG7 MP_N18_Sk::LB4 MP_N18_Sk::RM-Diff
LP+ GPG6 LB4: KE zur kommunalen Selbstverwaltung?	„stellen den Aufbau und die Funktionszusammenhänge der kommunalen Selbstverwaltung sowie die Mitwirkungsmöglichkeiten der Bürgerinnen und Bürger in der Gemeinde dar.“	LP+ GPG6 LB4	MP_N18_Sk::LP MP_N18_Sk::GPG6 MP_N18_Sk::LB4
LP+ GPG10 LB4: KE zu Kinderrechten?	„erläutern Aufgaben und Leistungen von Familie und staatlichen Einrichtungen zum Schutz von Kinderrechten und begründen die Bedeutung von Interessenvertretungen, die sich für die Wahrung dieser Rechte einsetzen.“	LP+ GPG10 LB4	MP_N18_Sk::LP MP_N18_Sk::GPG10 MP_N18_Sk::LB4
LP+ GPG9 LB3: KE zu Terrorismus?	R: „nennen Formen des Terrorismus, beschreiben deren unterschiedliche Motive und bewerten diese als Bedrohung für die Freiheit und die Sicherheit.“ (M: erläutern + beurteilen)	LP+ GPG9 LB3	MP_N18_Sk::LP MP_N18_Sk::GPG9 MP_N18_Sk::LB3
LP+ GPG8 LB3: KE zum Widerstand im NS?	„erläutern Motive und Formen des Widerstands … diskutieren Möglichkeiten und Grenzen, Menschenrechte auch in einer Demokratie einzufordern und erkennen dabei Zivilcourage als eine zum Erhalt und zur Stabilisierung demokratischer Gesellschaftsstrukturen unverzichtbare Voraussetzung.“	LP+ GPG8 LB3	MP_N18_Sk::LP MP_N18_Sk::GPG8 MP_N18_Sk::LB3
LP+ GPG10 LB3: KE zu Extremismus?	„entwickeln Erklärungen für die Existenz unterschiedlicher Formen von Extremismus und Radikalisierung.“ Inhalte: Links- und Rechtsextremismus, Dschihadismus.	LP+ GPG10 LB3	MP_N18_Sk::LP MP_N18_Sk::GPG10 MP_N18_Sk::LB3
LP+ GPG8 LB4: KE zum Sozialstaat?	„stellen Aufgaben und Funktion einer gemeinnützigen Einrichtung in ihrem Umfeld (z. B. Tafeln) dar und bewerten deren Notwendigkeit in unserem Sozialstaat.“ Plus: Generationenvertrag, demogr. Wandel.	LP+ GPG8 LB4	MP_N18_Sk::LP MP_N18_Sk::GPG8 MP_N18_Sk::LB4
AFB-Stufe und Bedeutung von „benennen“?	AFB I (Reproduktion). Ohne Begründung, einfache Auflistung. Beispiel: GPG7 LB4 R „benennen die rechtsbedeutsamen Altersstufen für Jugendliche“.	KMK-Operatorenliste	MP_N18_Sk::Operator MP_N18_Sk::AFB-I
AFB-Stufe und Bedeutung von „beschreiben“?	AFB I (Reproduktion). Sachverhalte mit eigenen Worten wiedergeben. Beispiel: GPG5 LB4 „beschreiben Konfliktsituationen aus ihrem Alltag“.	KMK-Operatorenliste	MP_N18_Sk::Operator MP_N18_Sk::AFB-I
AFB-Stufe und Bedeutung von „erläutern“?	AFB II (Reorganisation). Mit Beispielen verdeutlichen, Zusammenhänge aufzeigen. Beispiel: GPG6 LB4 „erläutern kommunalpolitische Entscheidungsprozesse“.	KMK-Operatorenliste	MP_N18_Sk::Operator MP_N18_Sk::AFB-II
AFB-Stufe und Bedeutung von „diskutieren“?	AFB III (Reflexion). Argumente abwägen, eigene Position begründen. Häufigster AFB-III-Operator in GPG-LB3+LB4. Beispiel: GPG7 LB4 „diskutieren … anhand einer öffentlichen Gerichtsverhandlung“.	KMK-Operatorenliste	MP_N18_Sk::Operator MP_N18_Sk::AFB-III MP_N18_Sk::Hochprior
AFB-Stufe und Bedeutung von „bewerten“?	AFB III (Reflexion). Werturteil unter Anwendung von Kriterien fällen. Beispiel: GPG8 LB4 „bewerten Notwendigkeit in unserem Sozialstaat“.	KMK-Operatorenliste	MP_N18_Sk::Operator MP_N18_Sk::AFB-III
AFB-Stufe und Bedeutung von „erörtern“?	AFB III (Reflexion). Pro- und Contra-Argumente abwägen, zu begründetem Urteil kommen. Beispiel: GPG10 LB3 „erörtern Möglichkeiten der Intervention durch die Staatengemeinschaft“.	KMK-Operatorenliste	MP_N18_Sk::Operator MP_N18_Sk::AFB-III
AFB-Stufe und Bedeutung von „analysieren“?	AFB II–III (kontextabhängig). Bestandteile/Strukturen herausarbeiten und in Beziehung setzen. Beispiel: GPG9 LB4 M „analysieren Ursachen von Migrationsbewegungen“ (M-Variante = AFB III).	KMK-Operatorenliste	MP_N18_Sk::Operator MP_N18_Sk::AFB-II MP_N18_Sk::AFB-III
AFB-Progression R → M (Beispiel GPG8 LB4 politische Teilhabe)?	R: „beschreiben“ (AFB I) → M: „erklären“ (AFB II). M-Anforderung höher: nicht nur Wiedergabe, sondern Zusammenhang darstellen.	LP+ GPG8 LB4	MP_N18_Sk::Operator MP_N18_Sk::RM-Diff
AFB-Progression R → M (Beispiel GPG9 LB4 Migration)?	R: „erklären“ (AFB II) → M: „analysieren“ (AFB III). Operatorenwechsel = höhere AFB-Stufe in M.	LP+ GPG9 LB4	MP_N18_Sk::Operator MP_N18_Sk::RM-Diff
Was kennzeichnet AFB-III-Operatoren in der LP+-Sk-Schicht?	Reflexive Urteilsbildung mit Begründung. Häufigste AFB-III-Operatoren: diskutieren, beurteilen, bewerten, erörtern, definieren (normativ), entwickeln, entschlüsseln. Konzentration in GPG7M–10.	LP+ + GPG B3 §2.3	MP_N18_Sk::Operator MP_N18_Sk::AFB-III
Welche Sk-Methoden werden in der Yehya-Sequenz GPG7 LB4 realisiert?	UE 1 Pro-Contra (Mikro), UE 5 Fallanalyse (Makro, kasuistisch), UE 6 Pro-Contra+Positionslinie, UE 8 Rollenspiel/Gerichtssimulation (Makro, gebundenes Rollenspiel = Realisierung der LP+-KE).	Sequenzplan 05_Sequenz_Recht.md + GPG B4	MP_N18_Sk::Praxis MP_N18_Sk::Yehya MP_N18_Sk::Hochprior
Wie verbindet die Yehya-Sequenz Handlungsorientierung + Lebensweltbezug + Werterziehung?	Identifikationsfigur (Yehya) = Lebensweltbezug; Gerichtssimulation = Simulationshandeln (Massing); „Strafe oder Hilfe?“-Diskussion = moralischer Urteilskonflikt (Werterziehung Stufe 3 Polis).	Sequenzplan + Massing 2012 + GPG B3 §1.2	MP_N18_Sk::Praxis MP_N18_Sk::Yehya MP_N18_Sk::Hochprior
Wie wird der Beutelsbacher Konsens in der Yehya-Sequenz operationalisiert?	Stereotypisierungsvermeidung explizit thematisiert; Yehya als individueller Fall, nicht Migrant-Stereotyp. Pro-Contra UE 6 = Kontroversitätsgebot. SuS-Positionierung UE 1 = Schülerorientierung.	Sequenzplan + GPG B3 §1.1	MP_N18_Sk::Praxis MP_N18_Sk::Yehya MP_N18_Sk::Beutelsbach
